Lp;Data zdarzenia;Data rejestracji;Zwierzę;Numer oborowy;Nazwa;Rodzaj zdarzenia;Opis;Wykonał;Zarejestrował;Wersja aktualna
154;2024-10-01;2024-10-08 19:10:21;PL005452069650;;RAMONA;Ubycie;"Ubycie: 2024-10-01; Choroby wymienia";;Admin Startowy admin;Tak
155;2024-10-01;2024-11-08 17:39:09;PL005563092257;;;Ubycie;"Ubycie: 2024-10-01; Sprz.do dalsz.chowu";;Admin Startowy admin;Tak
156;2024-09-17;2024-11-08 17:39:09;PL005563092240;;;Ubycie;"Ubycie: 2024-09-17; Sprz.do dalsz.chowu";;Admin Startowy admin;Tak
157;2024-09-16;2024-10-08 19:10:22;PL005389246926;;ZORZA;Ubycie;"Ubycie: 2024-09-16; Jałowość i chor.ukł.rozrod.";;Admin Startowy admin;Tak
158;2024-08-29;2024-09-06 16:51:43;PL005423498809;;TAMA;Wycielenie;"Poród samodzielny ; 1BŻ ; skierować do badania gin";;Admin Startowy admin;Tak
159;2024-08-29;2024-10-08 19:11:00;PL005541628553;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
160;2024-08-29;2024-10-08 19:11:00;PL005541628553;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
161;2024-08-26;2024-11-08 17:39:09;PL005541628539;;;Ubycie;"Ubycie: 2024-08-26; Sprz.do dalsz.chowu";;Admin Startowy admin;Tak
162;2024-08-26;2024-11-08 17:39:09;PL005541628546;;;Ubycie;"Ubycie: 2024-08-26; Sprz.do dalsz.chowu";;Admin Startowy admin;Tak
163;2024-08-23;2024-09-06 16:51:42;PL005380843476;;DODA;Wycielenie;"Poród samodzielny ; 1JŻ ; skierować do badania gin";;Admin Startowy admin;Tak
164;2024-08-23;2025-02-05 17:32:34;PL005541628478;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
165;2024-08-23;2025-02-05 17:32:34;PL005541628478;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
166;2024-08-15;2024-09-06 16:51:01;PL005380843667;;FRANIA;Ubycie;"Ubycie: 2024-08-15; Inne";;Admin Startowy admin;Tak
167;2024-08-15;2024-09-06 16:50:59;PL005452069650;;RAMONA;Zasuszenie;Zasuszona: 2024-08-15;;Admin Startowy admin;Tak
168;2024-08-15;2024-09-06 16:50:59;PL005491367304;;TAMIZA;Zasuszenie;Zasuszona: 2024-08-15;;Admin Startowy admin;Tak
169;2024-08-15;2024-09-06 16:50:59;PL005491367311;;ZAJDA;Zasuszenie;Zasuszona: 2024-08-15;;Admin Startowy admin;Tak
170;2024-08-10;2025-04-04 17:51:09;PL005541628393;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
171;2024-08-10;2025-04-04 17:51:09;PL005541628393;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
172;2024-08-09;2025-04-04 17:51:09;PL005541628423;;;Przemieszczenie w gospodarstwie;"Przyjęcie do gospodarstwa; Przydzielono do: Gospodarstwo, stada IRZ: PL035018142001";;Admin Startowy admin;Tak
173;2024-08-09;2025-04-04 17:51:09;PL005541628423;;;Przybycie;Przybycie: spoza gospodarstwa;;Admin Startowy admin;Tak
174;2024-08-06;2024-08-07 13:59:37;PL005380843797;;CUKIEREK;Diagnoza;Krowa podejrzana o Ketozę;Admin Startowy admin;Admin Startowy admin;Tak
175;2024-08-06;2024-08-07 13:59:40;PL005380843865;;BIANKA;Diagnoza;Krowa podejrzana o Ketozę;Admin Startowy admin;Admin Startowy admin;Tak
176;2024-08-06;2024-08-07 13:59:35;PL005399718291;;TAMARA;Diagnoza;Krowa podejrzana o Ketozę;Admin Startowy admin;Admin Startowy admin;Tak
177;2024-08-06;2024-08-07 13:59:38;PL005423498854;;ZULA;Diagnoza;Krowa podejrzana o Ketozę;Admin Startowy admin;Admin Startowy admin;Tak
Lista zdarzeń;;;;;;;;;;
użytkownik: Stecyk Dariusz  utworzono: 2025-12-12 22:04:58;;;;;;;;;;
